"λ,n (nm)",n,"λ,k (nm)",k,α (cm⁻¹)
729.3,3.476,729.3,0.242,41698.36403
756,3.469,756,0.225,37399.91254
774.9,3.467,774.9,0.218,35352.54606
805.1,3.459,805.1,0.209,32621.68002
826.6,3.456,826.6,0.203,30861.03599
925,3.3962,925,0.0355,4822.769263
930,3.3905,930,0.0109,1472.832685
935,3.385,935,0.0059,792.9581457
940,3.3797,940,0.00318,425.1176442
945,3.3746,945,0.000967,128.5892104
950,3.3696,950,0.000527,69.71028751
953.4,3.362,953.4,0.000281,37.03744643
960,3.36,960,0.0000739,9.673487379
965,3.3555,965,0.0000392,5.10468112
968.3,3.345,968.3,0.0000246,3.192530384
975,3.3467,975,0.0000113,1.456410133
